"Código Producto","Producto"
"5801","SERVICIOS DE PUBLICIDAD Y ESTUDIOS DE MERCADO"
"5901","SERVICIOS VETERINARIOS"
"5902","OTROS SERVICIOS PROFESIONALES, TÉCNICOS Y DE NEGOCIOS"
"6001","SERVICIOS DE ALQUILER O ARRENDAMIENTO DE VEHÍCULOS, MAQUINARIAS Y EQUIPO SIN OPERARIOS"
"6002","SERVICIOS DE ALQUILER O ARRENDAMIENTOS DE OTROS BIENES"
"6003","SERVICIOS DE AUTORIZACIÓN PARA EL DERECHO DE USO DE LA PROPIEDAD INTELECTUAL Y PRODUCTOS SIMILARES"
"6004","SERVICIOS DE AGENCIAS DE EMPLEO Y DE DOTACIÓN DE RECURSOS HUMANOS"
"6005","SERVICIOS AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS Y ACTIVIDADES CONEXAS"
"6006","SERVICIOS DE SEGURIDAD, SISTEMA DE SEGURIDAD E INVESTIGACIÓN PRIVADA"
"6007","SERVICIOS DE LIMPIEZA"
"6008","SERVICIOS TELEFÓNICOS DE CENTROS DE LLAMADAS"
"6009","SERVICIOS ADMINISTRATIVO Y DE APOYO DE OFICINA Y OTROS SERVICIOS DE APOYO A LAS EMPRESAS"
"6101","SERVICIOS ADMINISTRATIVOS DEL GOBIERNO"
"6102","SERVICIOS PARA LA COMUNIDAD EN GENERAL"
"6103","SERVICIOS ADMINISTRATIVOS RELACIONADOS CON LOS SISTEMAS DE SEGURIDAD SOCIAL Y AFILIACIÓN OBLIGATORIAS"
"6201","SERVICIOS DE ENSEÑANZA"
"6301","SERVICIOS DE HOSPITAL, MÉDICOS Y DENTALES"
"6302","OTROS SERVICIOS DE LA SALUD HUMANA "
"6303","SERVICIOS DE ATENCIÓN EN INSTITUCIONES Y DE ASISTENCIA SOCIAL"
"6401","SERVICIOS ARTÍSTICOS, ENTRETENIMIENTO Y RECREATIVOS"
"6501","SERVICIOS DE ASOCIACIONES U ORGANIZACIONES "
"6502","REPARACIÓN Y MANTENIMIENTO DE COMPUTADORAS Y ENSERES DE USO PERSONAL Y DOMÉSTICO"
"6503","OTRAS ACTIVIDADES DE SERVICIO"
"6601","SERVICIOS DOMÉSTICOS"
"6701","COMPRAS DIRECTAS EN EL EXTERIOR POR RESIDENTES (EMBAJADAS) "
"6702","COMPRAS DIRECTAS EN EL EXTERIOR POR RESIDENTES (VIAJES) "
"6703","COMPRAS DIRECTAS EN EL TERRITORIO NACIONAL POR NO RESIDENTES (EMBAJADAS) "
"6704","COMPRAS DIRECTAS EN EL TERRITORIO NACIONAL POR NO RESIDENTES (VIAJES) "
